Unit,Date,Hour Ending,MWH
WEBBER_S_WSP1,20190110,2000,0
WEBBER_S_WSP1,20190110,2100,0
WEBBER_S_WSP1,20190110,2200,0
WEBBER_S_WSP1,20190110,2300,0
WEBBER_S_WSP1,20190110,2400,0
WEBBER_S_WSP1,20190111,100,0
WEBBER_S_WSP1,20190111,200,0
WEBBER_S_WSP1,20190111,300,0
WEBBER_S_WSP1,20190111,400,0
WEBBER_S_WSP1,20190111,500,0
WEBBER_S_WSP1,20190111,600,0
WEBBER_S_WSP1,20190111,700,0
WEBBER_S_WSP1,20190111,800,0.0367
WEBBER_S_WSP1,20190111,900,0.430075
WEBBER_S_WSP1,20190111,1000,1.3897
WEBBER_S_WSP1,20190111,1100,2.50315
WEBBER_S_WSP1,20190111,1200,3.49535
WEBBER_S_WSP1,20190111,1300,5.474275
WEBBER_S_WSP1,20190111,1400,4.6906
WEBBER_S_WSP1,20190111,1500,2.803925
WEBBER_S_WSP1,20190111,1600,1.80785
WEBBER_S_WSP1,20190111,1700,0.551125
WEBBER_S_WSP1,20190111,1800,0.0367
WEBBER_S_WSP1,20190111,1900,0
WEBBER_S_WSP1,20190111,2000,0
WEBBER_S_WSP1,20190111,2100,0
WEBBER_S_WSP1,20190111,2200,0
WEBBER_S_WSP1,20190111,2300,0
WEBBER_S_WSP1,20190111,2400,0
WEBBER_S_WSP1,20190112,100,0
WEBBER_S_WSP1,20190112,200,0
WEBBER_S_WSP1,20190112,300,0
WEBBER_S_WSP1,20190112,400,0
WEBBER_S_WSP1,20190112,500,0
WEBBER_S_WSP1,20190112,600,0
WEBBER_S_WSP1,20190112,700,0
WEBBER_S_WSP1,20190112,800,0.28525
WEBBER_S_WSP1,20190112,900,11.429725
WEBBER_S_WSP1,20190112,1000,22.979725
WEBBER_S_WSP1,20190112,1100,23.57875
WEBBER_S_WSP1,20190112,1200,22.247775
WEBBER_S_WSP1,20190112,1300,21.264875
WEBBER_S_WSP1,20190112,1400,21.23905
WEBBER_S_WSP1,20190112,1500,22.1559
WEBBER_S_WSP1,20190112,1600,22.329325
WEBBER_S_WSP1,20190112,1700,16.3962
WEBBER_S_WSP1,20190112,1800,2.2832
WEBBER_S_WSP1,20190112,1900,0
WEBBER_S_WSP1,20190112,2000,0
WEBBER_S_WSP1,20190112,2100,0
WEBBER_S_WSP1,20190112,2200,0
WEBBER_S_WSP1,20190112,2300,0
WEBBER_S_WSP1,20190112,2400,0
WEBBER_S_WSP1,20190113,100,0
WEBBER_S_WSP1,20190113,200,0
WEBBER_S_WSP1,20190113,300,0
WEBBER_S_WSP1,20190113,400,0
WEBBER_S_WSP1,20190113,500,0
WEBBER_S_WSP1,20190113,600,0
WEBBER_S_WSP1,20190113,700,0
WEBBER_S_WSP1,20190113,800,0.587725
WEBBER_S_WSP1,20190113,900,12.51605
WEBBER_S_WSP1,20190113,1000,21.376075
WEBBER_S_WSP1,20190113,1100,23.723475
WEBBER_S_WSP1,20190113,1200,22.499775
WEBBER_S_WSP1,20190113,1300,21.35075
WEBBER_S_WSP1,20190113,1400,21.478375
WEBBER_S_WSP1,20190113,1500,22.1399
WEBBER_S_WSP1,20190113,1600,21.780275
WEBBER_S_WSP1,20190113,1700,15.1991
WEBBER_S_WSP1,20190113,1800,1.941775
WEBBER_S_WSP1,20190113,1900,0
WEBBER_S_WSP1,20190113,2000,0
WEBBER_S_WSP1,20190113,2100,0
WEBBER_S_WSP1,20190113,2200,0
WEBBER_S_WSP1,20190113,2300,0
WEBBER_S_WSP1,20190113,2400,0
WEBBER_S_WSP1,20190114,100,0
WEBBER_S_WSP1,20190114,200,0
WEBBER_S_WSP1,20190114,300,0
WEBBER_S_WSP1,20190114,400,0
WEBBER_S_WSP1,20190114,500,0
WEBBER_S_WSP1,20190114,600,0
WEBBER_S_WSP1,20190114,700,0
WEBBER_S_WSP1,20190114,800,0.286125
WEBBER_S_WSP1,20190114,900,2.14055
WEBBER_S_WSP1,20190114,1000,2.91125
WEBBER_S_WSP1,20190114,1100,5.48265
WEBBER_S_WSP1,20190114,1200,14.0938
WEBBER_S_WSP1,20190114,1300,19.756525
WEBBER_S_WSP1,20190114,1400,20.86425
WEBBER_S_WSP1,20190114,1500,17.816425
WEBBER_S_WSP1,20190114,1600,2.8385
WEBBER_S_WSP1,20190114,1700,1.6611
WEBBER_S_WSP1,20190114,1800,0.280375
WEBBER_S_WSP1,20190114,1900,0
WEBBER_S_WSP1,20190114,2000,0
WEBBER_S_WSP1,20190114,2100,0
WEBBER_S_WSP1,20190114,2200,0
WEBBER_S_WSP1,20190114,2300,0
WEBBER_S_WSP1,20190114,2400,0
WEBBER_S_WSP1,20190115,100,0
WEBBER_S_WSP1,20190115,200,0
WEBBER_S_WSP1,20190115,300,0
WEBBER_S_WSP1,20190115,400,0
WEBBER_S_WSP1,20190115,500,0
WEBBER_S_WSP1,20190115,600,0
WEBBER_S_WSP1,20190115,700,0
WEBBER_S_WSP1,20190115,800,0.17575
WEBBER_S_WSP1,20190115,900,1.409825
WEBBER_S_WSP1,20190115,1000,2.33205
WEBBER_S_WSP1,20190115,1100,3.541375
WEBBER_S_WSP1,20190115,1200,3.987325
WEBBER_S_WSP1,20190115,1300,6.08755
WEBBER_S_WSP1,20190115,1400,6.5295
WEBBER_S_WSP1,20190115,1500,4.985225
WEBBER_S_WSP1,20190115,1600,1.631175
WEBBER_S_WSP1,20190115,1700,0.788925
WEBBER_S_WSP1,20190115,1800,0.1528
WEBBER_S_WSP1,20190115,1900,0
WEBBER_S_WSP1,20190115,2000,0
WEBBER_S_WSP1,20190115,2100,0
WEBBER_S_WSP1,20190115,2200,0
WEBBER_S_WSP1,20190115,2300,0
WEBBER_S_WSP1,20190115,2400,0
WEBBER_S_WSP1,20190116,100,0
WEBBER_S_WSP1,20190116,200,0
WEBBER_S_WSP1,20190116,300,0
WEBBER_S_WSP1,20190116,400,0
WEBBER_S_WSP1,20190116,500,0
WEBBER_S_WSP1,20190116,600,0
WEBBER_S_WSP1,20190116,700,0
WEBBER_S_WSP1,20190116,800,0.053025
WEBBER_S_WSP1,20190116,900,0.998825
WEBBER_S_WSP1,20190116,1000,0.991675
WEBBER_S_WSP1,20190116,1100,4.126875
WEBBER_S_WSP1,20190116,1200,4.8743
WEBBER_S_WSP1,20190116,1300,4.225375
WEBBER_S_WSP1,20190116,1400,6.75165
WEBBER_S_WSP1,20190116,1500,2.94885
WEBBER_S_WSP1,20190116,1600,2.234175
WEBBER_S_WSP1,20190116,1700,1.4521
WEBBER_S_WSP1,20190116,1800,0.140225
WEBBER_S_WSP1,20190116,1900,0
WEBBER_S_WSP1,20190116,2000,0
WEBBER_S_WSP1,20190116,2100,0
WEBBER_S_WSP1,20190116,2200,0
WEBBER_S_WSP1,20190116,2300,0
WEBBER_S_WSP1,20190116,2400,0
WEBBER_S_WSP1,20190117,100,0
WEBBER_S_WSP1,20190117,200,0
WEBBER_S_WSP1,20190117,300,0
WEBBER_S_WSP1,20190117,400,0
WEBBER_S_WSP1,20190117,500,0
WEBBER_S_WSP1,20190117,600,0
WEBBER_S_WSP1,20190117,700,0
WEBBER_S_WSP1,20190117,800,0.24105
WEBBER_S_WSP1,20190117,900,3.330475
WEBBER_S_WSP1,20190117,1000,15.5631
WEBBER_S_WSP1,20190117,1100,19.693775
WEBBER_S_WSP1,20190117,1200,19.8178
WEBBER_S_WSP1,20190117,1300,19.144075
WEBBER_S_WSP1,20190117,1400,20.167025
WEBBER_S_WSP1,20190117,1500,21.122625
WEBBER_S_WSP1,20190117,1600,20.7716
WEBBER_S_WSP1,20190117,1700,13.434625
WEBBER_S_WSP1,20190117,1800,1.475075
WEBBER_S_WSP1,20190117,1900,0
WEBBER_S_WSP1,20190117,2000,0
WEBBER_S_WSP1,20190117,2100,0
WEBBER_S_WSP1,20190117,2200,0
WEBBER_S_WSP1,20190117,2300,0
WEBBER_S_WSP1,20190117,2400,0
WEBBER_S_WSP1,20190118,100,0
WEBBER_S_WSP1,20190118,200,0
WEBBER_S_WSP1,20190118,300,0
WEBBER_S_WSP1,20190118,400,0
WEBBER_S_WSP1,20190118,500,0
WEBBER_S_WSP1,20190118,600,0
WEBBER_S_WSP1,20190118,700,0
WEBBER_S_WSP1,20190118,800,0.02995
WEBBER_S_WSP1,20190118,900,0.8599
WEBBER_S_WSP1,20190118,1000,1.749475
WEBBER_S_WSP1,20190118,1100,1.457675
WEBBER_S_WSP1,20190118,1200,1.7992
WEBBER_S_WSP1,20190118,1300,3.89675
WEBBER_S_WSP1,20190118,1400,3.931225
WEBBER_S_WSP1,20190118,1500,1.7813
WEBBER_S_WSP1,20190118,1600,0.95665
WEBBER_S_WSP1,20190118,1700,0.702825
WEBBER_S_WSP1,20190118,1800,0.134925
WEBBER_S_WSP1,20190118,1900,0
WEBBER_S_WSP1,20190118,2000,0
WEBBER_S_WSP1,20190118,2100,0
WEBBER_S_WSP1,20190118,2200,0
WEBBER_S_WSP1,20190118,2300,0
WEBBER_S_WSP1,20190118,2400,0
WEBBER_S_WSP1,20190119,100,0
WEBBER_S_WSP1,20190119,200,0
WEBBER_S_WSP1,20190119,300,0
WEBBER_S_WSP1,20190119,400,0
WEBBER_S_WSP1,20190119,500,0
WEBBER_S_WSP1,20190119,600,0
WEBBER_S_WSP1,20190119,700,0
WEBBER_S_WSP1,20190119,800,0.254825
WEBBER_S_WSP1,20190119,900,12.3483
WEBBER_S_WSP1,20190119,1000,23.2087
WEBBER_S_WSP1,20190119,1100,24.829175
